Station_ID,Year,Mo,Da,Temp,Max,Min,Prcp,Station_Name,Latitude,Longitude,zip_code,city,county
720278,2013,12,25,29.2,35.6,23,0,EMPORIA-GRENVLE RGNL ARPT,36.687,-77.483,23847,Emporia city,Emporia city
720278,2011,11,17,50.3,69.8,39.2,99.99,EMPORIA GREENSVILLE,36.687,-77.483,23847,Emporia city,Emporia city
720278,2008,06,15,77.3,87.8,71.6,99.99,EMPORIA GREENSVILLE,36.687,-77.483,23847,Emporia city,Emporia city
720278,2021,02,26,42.9,61.9,31.8,0.04,EMPORIA-GRENVLE RGNL ARPT,36.687,-77.483,23847,Emporia city,Emporia city
720278,2011,12,06,61.2,68,55.4,99.99,EMPORIA-GRENVLE RGNL ARPT,36.687,-77.483,23847,Emporia city,Emporia city
720278,2007,08,24,80.7,95,71.6,0,EMPORIA-GRENVLE RGNL ARPT,36.687,-77.483,23847,Emporia city,Emporia city
720278,2022,06,21,68.6,86.9,48.7,0,EMPORIA GREENSVILLE,36.687,-77.483,23847,Emporia city,Emporia city
720278,2019,06,07,73.8,89.6,69.4,0.7,EMPORIA-GRENVLE RGNL ARPT,36.687,-77.483,23847,Emporia city,Emporia city
720278,2019,05,14,57.9,66.7,48.6,0,EMPORIA GREENSVILLE,36.687,-77.483,23847,Emporia city,Emporia city
720278,2020,10,03,55.3,68.5,46,0,EMPORIA-GRENVLE RGNL ARPT,36.687,-77.483,23847,Emporia city,Emporia city
720278,2023,05,24,61.8,76.3,49.5,0,EMPORIA GREENSVILLE,36.687,-77.483,23847,Emporia city,Emporia city
720278,2009,10,20,47.4,71.6,32,0,EMPORIA GREENSVILLE,36.687,-77.483,23847,Emporia city,Emporia city
720278,2015,03,26,60.6,71.6,51.8,99.99,EMPORIA GREENSVILLE,36.687,-77.483,23847,Emporia city,Emporia city
720278,2023,03,17,54.2,68.9,41.5,99.99,EMPORIA GREENSVILLE,36.687,-77.483,23847,Emporia city,Emporia city
720278,2015,02,04,34.8,53.6,23,0,EMPORIA-GRENVLE RGNL ARPT,36.687,-77.483,23847,Emporia city,Emporia city
720278,2017,06,06,70.8,82.4,62.6,0,EMPORIA GREENSVILLE,36.687,-77.483,23847,Emporia city,Emporia city
720278,2005,05,10,61.7,77,44.6,0,EMPORIA-GRENVLE RGNL ARPT,36.687,-77.483,23847,Emporia city,Emporia city
720278,2007,01,16,61.3,68,48.2,99.99,EMPORIA GREENSVILLE,36.687,-77.483,23847,Emporia city,Emporia city
720278,2012,10,04,71.9,77,64.4,99.99,EMPORIA-GRENVLE RGNL ARPT,36.687,-77.483,23847,Emporia city,Emporia city
720278,2005,01,22,25,30.2,21.2,0,EMPORIA GREENSVILLE,36.687,-77.483,23847,Emporia city,Emporia city
720278,2019,03,09,42,47.3,32.2,0,EMPORIA GREENSVILLE,36.687,-77.483,23847,Emporia city,Emporia city
720278,2009,04,01,55.2,66.2,46.4,0,EMPORIA-GRENVLE RGNL ARPT,36.687,-77.483,23847,Emporia city,Emporia city
720278,2018,11,27,41.5,51.8,33.8,0,EMPORIA GREENSVILLE,36.687,-77.483,23847,Emporia city,Emporia city
720278,2005,10,26,48.3,60.8,37.4,0,EMPORIA-GRENVLE RGNL ARPT,36.687,-77.483,23847,Emporia city,Emporia city
720278,2018,08,24,66.7,82.4,55.4,0,EMPORIA GREENSVILLE,36.687,-77.483,23847,Emporia city,Emporia city
720278,2013,03,15,41.9,59,24.8,0,EMPORIA GREENSVILLE,36.687,-77.483,23847,Emporia city,Emporia city
720278,2013,01,09,45.2,68,32,0,EMPORIA-GRENVLE RGNL ARPT,36.687,-77.483,23847,Emporia city,Emporia city
720278,2020,12,28,55.5,57.9,51.8,0,EMPORIA GREENSVILLE,36.687,-77.483,23847,Emporia city,Emporia city
720278,2009,07,12,77.8,89.6,71.6,99.99,EMPORIA GREENSVILLE,36.687,-77.483,23847,Emporia city,Emporia city
720278,2010,10,09,58.7,82.4,42.8,0,EMPORIA-GRENVLE RGNL ARPT,36.687,-77.483,23847,Emporia city,Emporia city
720278,2011,01,31,36.6,46.4,32,0,EMPORIA GREENSVILLE,36.687,-77.483,23847,Emporia city,Emporia city
720278,2014,08,11,70.6,82.4,59,0,EMPORIA GREENSVILLE,36.687,-77.483,23847,Emporia city,Emporia city
720278,2013,01,18,34.7,41,30.2,99.99,EMPORIA GREENSVILLE,36.687,-77.483,23847,Emporia city,Emporia city
720278,2023,05,28,61.8,67.6,50.9,99.99,EMPORIA GREENSVILLE,36.687,-77.483,23847,Emporia city,Emporia city
720278,2014,03,21,46.9,68,28.4,0,EMPORIA-GRENVLE RGNL ARPT,36.687,-77.483,23847,Emporia city,Emporia city
